name,eirp
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band Spot 1 Beam,51.7
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K2 Beam,50.7
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band K1 Beam,52
Ku-band Spot 2 Beam,0
Ku-band Spot 2 Beam,0
Ku-band Spot 2 Beam,0
Ku-band Spot 2 Beam,0
Ku-band Spot 2 Beam,0
Ku-band Spot 2 Beam,0
Ku-band Spot 1 Beam,51.7
Ku-band Spot 2 Beam,0
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band T1 Nordic Beam,52
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 2 Beam,0
Ku-band Spot 2 Beam,0
Ku-band Spot 2 Beam,0
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band Spot 2 Beam,0
Ku-band Spot 1 Beam,51.7
Ku-band Spot 1 Beam,51.7
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band T2 Beam,52
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band T2 Beam,52
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band T2 Beam,52
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band T2 Beam,52
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band K2 Beam,50.7
Ku-band Central and Eastern Europe beam,52
Ku-band T2 Beam,52
Ku-band Central and Eastern Europe beam,52
Ku-band Spot 1 Beam,51.7
Ku-band T2 Beam,52
Ku-band Central and Eastern Europe beam,52
Ku-band K2 Beam,50.7
Ku-band Central and Eastern Europe beam,52
Ku-band K2 Beam,50.7
Ku-band Central and Eastern Europe beam,52
Ku-band K2 Beam,50.7
Ku-band Central and Eastern Europe beam,52
Ku-band K2 Beam,50.7
Ku-band T2 Beam,52
Ku-band Central and Eastern Europe beam,52
Ku-band K2 Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Spot 3/3X Beam,50.7
Ku-band Europe beam,0
Ku-band Europe beam,0
Ku-band Balkan beam,0
Ku-band Balkan beam,0
Ku-band Europe beam,0
Ku-band Europe beam,0
Ku-band Balkan beam,0
Ku-band Europe beam,0
Ku-band Europe beam,0
Ku-band Balkan beam,0
Ku-band Europe beam,0
Ku-band Europe beam,0
Ku-band Europe beam,0
Ku-band Europe beam,0
Ku-band Europe beam,0
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
Ku-band Europe beam,46
Ku-band Europe beam,46
C-band Continental beam,0
C-band Continental beam,0
C-band Continental beam,0
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Global beam,35
C-band Continental beam,0
C-band Global beam,35
C-band Continental beam,0
C-band Global beam,35
C-band Continental beam,0
C-band Global beam,35
C-band Global beam,35
Ku-band Northern beam,0
Ku-band Southern beam,0
Ku-band Northern beam,0
Ku-band Northern beam,0
Ku-band Northern beam,0
Ku-band Northern beam,0
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Northern beam,0
Ku-band Europe beam,46
Ku-band Europe beam,46
